Alimentos,porcao,Calorias,Gorduras,Gorduras Totais,Sodio,Potassio,Carboidrato total,Fibra alimentar,Acucares,Proteína,Vitamina A,Vitamina C,Calcio,Ferro,Gordura saturada,Colesterol,Tipo de comida
Abacate California,1/5 Medio (30 g/1.1 oz),50,35,4.5,0,140,3,1,0,1,0,4,0,2,0,0,F
Linguado,0,120,15,2,60,500,0,0,0,23,4,0,2,6,0,13,S
Pimentao,1 meio (148 g/5.3 oz),25,0,0,40,220,6,2,4,1,4,190,2,4,0,0,V
Brocolis,1 caule medio (148 g/5.3 oz),45,0,0.5,80,460,8,3,2,4,6,220,6,6,0,0,V
Couve-Flor,1/6 Tamanho medio (99 g/3.5 oz),25,0,0,30,270,5,2,2,2,0,100,2,2,0,0,V
Salsao,2 caules medios (110 g/3.9 oz),15,0,0,115,260,4,2,2,0,10,15,4,2,0,0,V
Pepino,1/3 Medio (99 g/3.5 oz),10,0,0,0,140,2,1,1,1,4,10,2,2,0,0,V
Feijao Verde,3/4 de xícara de corte (83 g/3.0 oz),20,0,0,0,200,5,3,2,1,4,10,4,2,0,0,V
Repolho Verde,1/12 Cabeca media (84 g/3.0 oz),25,0,0,20,190,5,2,3,1,0,70,4,2,0,0,V
Cebola Verde,1/4 xícara picada (25 g/0.9 oz),10,0,0,10,70,2,1,1,0,2,8,2,2,0,0,V
Alface Americano,1/6 Cabeca media (89 g/3.2 oz),10,0,0,10,125,2,1,2,1,6,6,2,2,0,0,V
Folha de Alface,1 1/2 xícaras trituradas (85 g/3.0 oz),15,0,0,35,170,2,1,1,1,130,6,2,4,0,0,V
Cogumelos,5 Medios (84 g/3.0 oz),20,0,0,15,300,3,1,0,3,0,2,0,2,0,0,V
Cebola,1 Media (148 g/5.3 oz),45,0,0,5,190,11,3,9,1,0,20,4,4,0,0,V
Batata,1 Media (148 g/5.3 oz),110,0,0,0,620,26,2,1,3,0,45,2,6,0,0,V
Rabanetes,7 unidades (85 g/3.0 oz),10,0,0,55,190,3,1,2,0,0,30,2,2,0,0,V
Abobrinha,1/2 Medio (98 g/3.5 oz),20,0,0,0,260,4,2,2,1,6,30,2,2,0,0,V
Milho Doce,1 espiga media (90 g/3.2 oz),90,20,2.5,0,250,18,2,5,4,2,10,0,2,0,0,V
Aspargos,5 unidades (93 g/3.3 oz),20,0,0,0,230,4,2,2,2,10,15,2,2,0,0,V
Tomate,1 Medio (148 g/5.3 oz),25,0,0,20,340,5,1,3,1,20,40,2,4,0,0,V
Maca,1 grande (242 g/8 oz),130,0,0,0,260,34,5,25,1,2,8,2,2,0,0,F
Banana,1 Media (126 g/4.5 oz),110,0,0,0,450,30,3,19,1,2,15,0,2,0,0,F
Melao Cantalupo,1/4 Medio (134 g/4.8 oz),50,0,0,20,240,12,1,11,1,120,80,2,2,0,0,F
Uvas,3/4 de xícara (126 g/4.5 oz),90,0,0,15,240,23,1,20,0,0,2,2,0,0,0,F
Kiwi,2 Medios (148 g/5.3 oz),90,10,1,0,450,20,4,13,1,2,240,4,2,0,0,F
Limao,1 unidade (58 g/2.1 oz),15,0,0,0,75,5,2,2,0,0,40,2,0,0,0,F
Laranja Lima,1 Media (67 g/2.4 oz),20,0,0,0,75,7,2,0,0,0,35,0,0,0,0,F
Nectarina,1 Medio (140 g/5.0 oz),60,5,0.5,0,250,15,2,11,1,8,15,0,2,0,0,F
Laranja,1 Medio (154 g/5.5 oz),80,0,0,0,250,19,3,14,1,2,130,6,0,0,0,F
Pessego,1 meio (147 g/5.3 oz),60,0,0.5,0,230,15,2,13,1,6,15,0,2,0,0,F
Pera,1 Medio (166 g/5.9 oz),100,0,0,0,190,26,6,16,1,0,10,2,0,0,0,F
Ameixas,2 Medias (151 g/5.4 oz),70,0,0,0,230,19,2,16,1,8,10,0,2,0,0,F
Morangos,8 Medios (147 g/5.3 oz),50,0,0,0,170,11,2,8,1,0,160,2,2,0,0,F
Cerejas doces,21 unidades,100,0,0,0,350,26,1,16,1,2,15,2,2,0,0,F
Tangerina,1 Media (109 g/3.9 oz),50,0,0,0,160,13,2,9,1,6,45,4,0,0,0,F
Melancia,1/18 medio ou 2 xícaras de pecas em cubos,80,0,0,0,270,21,1,20,1,30,25,2,4,0,0,F
Mexilhao,12 pequenos,110,15,1.5,95,470,6,0,0,17,10,0,8,30,0,27,S
Ostras,12 Medios,100,35,4,300,220,6,0,0,10,0,6,6,45,5,27,S
Salmao,0,200,90,10,55,430,0,0,0,24,4,4,2,2,10,23,S
Salmao rosa,0,130,40,4,65,420,0,0,0,22,2,0,2,4,5,23,S
Vieiras,6 grandes ou 14 pequenos,140,10,1,310,430,5,0,0,27,2,0,4,14,0,22,S
Toranja,1/2 Media (154 g/5.5 oz),60,0,0,0,160,15,2,11,1,35,100,4,0,0,0,F
Cenoura,1 Unidade (78 g/2.8 oz),30,0,0,60,250,7,2,5,1,110,10,2,2,0,0,V
Batata Doce,1 Media (130 g/4.6 oz),100,0,0,70,440,23,4,7,2,120,30,4,4,0,0,V
Abacaxi,2 fatias,50,0,0,10,120,13,1,10,1,2,50,2,2,0,0,F
Melao,1/10 de unidade,50,0,0,30,210,12,1,11,1,2,45,2,2,0,0,F
Caranguejo Azul,0,100,10,1,330,300,0,0,0,20,0,4,10,4,0,32,S
Peixe-Gato,0,130,60,6,40,230,0,0,0,17,0,0,0,0,10,17,S
Bacalhau,0,90,5,1,65,460,0,0,0,20,0,2,2,2,0,17,S
Linguado/Sola,0,100,15,1.5,100,390,0,0,0,19,0,0,2,0,0,18,S
Peixe Arinca,0,100,10,1,85,340,0,0,0,21,2,0,2,6,0,23,S
Lagosta,0,80,0,0.5,320,300,1,0,0,17,2,0,6,2,0,20,S
Cantoilho do Pacifico,0,110,20,2,95,290,0,0,0,21,0,2,10,4,3,15,S
Peixe Relogio,0,80,5,1,70,340,0,0,0,16,2,0,4,2,0,7,S
Peixe Pollock,0,90,10,1,110,370,0,0,0,20,2,0,0,2,0,27,S
Truta Arco-Iris,0,140,50,6,35,370,0,0,0,20,4,4,8,2,10,18,S
Bodiao,0,110,15,2,70,440,0,0,0,21,4,0,2,2,0,13,S
Camarao,0,100,10,1.5,240,220,0,0,0,21,4,4,6,10,0,57,S
Peixe-Espada,0,120,50,6,100,310,0,0,0,16,2,2,0,6,8,13,S
Tilapia,0,110,20,2.5,30,360,0,0,0,22,0,2,0,2,5,25,S
Atum,0,130,15,1.5,40,480,0,0,0,26,2,2,2,4,0,17,S
Pirarucu,0,150,12,2.5,40,400,0,0,0,36,2,2,2,4,0,7,S